Тип_документа;Документ;Описание_документа;Ду;Дн;Стенка;Масса;Наименование_трубопровода
ГОСТ;ГОСТ 3262-75;ТРУБЫ СТАЛЬНЫЕ ВОДОГАЗОПРОВОДНЫЕ (обыкновенные);10;17;2.2;0.8;Труба Ø10х2.2 ГОСТ 3262-75 
ГОСТ;ГОСТ 3262-75;ТРУБЫ СТАЛЬНЫЕ ВОДОГАЗОПРОВОДНЫЕ (обыкновенные);15;21.3;2.8;1.28;Труба Ø15х2.8 ГОСТ 3262-75 
ГОСТ;ГОСТ 3262-75;ТРУБЫ СТАЛЬНЫЕ ВОДОГАЗОПРОВОДНЫЕ (обыкновенные);20;26.8;2.8;1.66;Труба Ø20х2.8 ГОСТ 3262-75 
ГОСТ;ГОСТ 3262-75;ТРУБЫ СТАЛЬНЫЕ ВОДОГАЗОПРОВОДНЫЕ (обыкновенные);25;33.5;3.2;2.39;Труба Ø25х3.2 ГОСТ 3262-75 
ГОСТ;ГОСТ 3262-75;ТРУБЫ СТАЛЬНЫЕ ВОДОГАЗОПРОВОДНЫЕ (обыкновенные);32;42.3;3.2;3.09;Труба Ø32х3.2 ГОСТ 3262-75 
ГОСТ;ГОСТ 3262-75;ТРУБЫ СТАЛЬНЫЕ ВОДОГАЗОПРОВОДНЫЕ (обыкновенные);40;48;3.5;3.84;Труба Ø40х3.5 ГОСТ 3262-75 
ГОСТ;ГОСТ 3262-75;ТРУБЫ СТАЛЬНЫЕ ВОДОГАЗОПРОВОДНЫЕ (обыкновенные);50;60;3.5;4.88;Труба Ø50х3.5 ГОСТ 3262-75 
ГОСТ;ГОСТ 3262-75;ТРУБЫ СТАЛЬНЫЕ ВОДОГАЗОПРОВОДНЫЕ (обыкновенные);65;75.5;4;7.05;Труба Ø65х4 ГОСТ 3262-75 
ГОСТ;ГОСТ 3262-75;ТРУБЫ СТАЛЬНЫЕ ВОДОГАЗОПРОВОДНЫЕ (обыкновенные);80;88.5;4;8.34;Труба Ø80х4 ГОСТ 3262-75 
ГОСТ;ГОСТ 3262-75;ТРУБЫ СТАЛЬНЫЕ ВОДОГАЗОПРОВОДНЫЕ (обыкновенные);90;101.3;4;9.6;Труба Ø90х4 ГОСТ 3262-75 
ГОСТ;ГОСТ 3262-75;ТРУБЫ СТАЛЬНЫЕ ВОДОГАЗОПРОВОДНЫЕ (обыкновенные);100;114;4.5;12.15;Труба Ø100х4.5 ГОСТ 3262-75 
ГОСТ;ГОСТ 3262-75;ТРУБЫ СТАЛЬНЫЕ ВОДОГАЗОПРОВОДНЫЕ (обыкновенные);125;140;4.5;15.04;Труба Ø125х4.5 ГОСТ 3262-75 
ГОСТ;ГОСТ 3262-75;ТРУБЫ СТАЛЬНЫЕ ВОДОГАЗОПРОВОДНЫЕ (обыкновенные);150;165;4.5;17.81;Труба Ø150х4.5 ГОСТ 3262-75 
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;50;57;3;4;Труба Ø57х3 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;65;76;3;5.4;Труба Ø76х3 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;80;89;3;6.36;Труба Ø89х3 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;100;114;4;10.85;Труба Ø114х4 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;125;133;4;12.73;Труба Ø133х4 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;150;159;4;15.29;Труба Ø159х4 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;200;219;6;31.52;Труба Ø219х6 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;250;273;6;39.51;Труба Ø273х6 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;300;325;6;47.2;Труба Ø325х6 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;350;377;6;59.77;Труба Ø377х6 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;400;426;7;72.33;Труба Ø426х7 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;500;530;7;90.29;Труба Ø530х7 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;600;630;7;107.55;Труба Ø630х7 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;800;820;8;160.2;Труба Ø820х8 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;1000;1020;11;273.72;Труба Ø1020х11 ГОСТ 10704-91 (1993)
ГОСТ;ГОСТ 10704-91 (1993);Трубы стальные электросварыне прямошовные;1200;1220;12;357.49;Труба Ø1220х12 ГОСТ 10704-91 (1993
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;15;20;2,5;1,08;Труба 20х2,0 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;20;25;2,5;1,39;Труба 25х2,5 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;25;32;3,0;2,15;Труба 32х3,0 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;32;38;3,0;2,59;Труба 38х3,2 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;40;45;3,5;3,58;Труба 45х3,5 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;50;57;3,5;4,62;Труба 57х3,5 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;65;76;4,0;7,10;Труба 76х4,0 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;80;89;4,5;9,38;Труба 89х4,5 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;100;108;4,5;11,49;Труба 108х4,5 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;125;133;5,0;15,78;Труба 133х5,0 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;150;159;5,5;20,82;Труба 159х5,5 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;200;219;7,0;36,60;Труба 219х7,0 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;225;245;8;46,77;Труба 245х8,0 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;250;273;8;52,28;Труба 273х8,0 ГОСТ 8732-78
ГОСТ;ГОСТ 8732-78;Трубы стальные бесшовные горячедеформированные;200;219;7,0;10;Труба 219х7,0 ГОСТ 8732-78
Manufactures;PPR Tebo technics PN10;Tebo technics PN10;15;20;1,9;0,107;PPR Труба Tebo technics PN10 d20х1,9
Manufactures;PPR Tebo technics PN10;Tebo technics PN10;20;25;2,3;0,164;PPR Труба Tebo technics PN10 d25х2,3
Manufactures;PPR Tebo technics PN10;Tebo technics PN10;25;32;3,0;0,267;PPR Труба Tebo technics PN10 d32х3,0
Manufactures;PPR Tebo technics PN10;Tebo technics PN10;32;40;3,7;0,412;PPR Труба Tebo technics PN10 d40х3,7
Manufactures;PPR Tebo technics PN10;Tebo technics PN10;40;50;4,6;0,638;PPR Труба Tebo technics PN10 d50х4,6
Manufactures;PPR Tebo technics PN10;Tebo technics PN10;50;63;5,8;1,010;PPR Труба Tebo technics PN10 d63х5,8
Manufactures;PPR Tebo technics PN10;Tebo technics PN10;65;75;6,9;1,420;PPR Труба Tebo technics PN10 d75х6,9
Manufactures;PPR Tebo technics PN10;Tebo technics PN10;80;90;8,2;2,030;PPR Труба Tebo technics PN10 d90х8,2
Manufactures;PPR Tebo technics PN10;Tebo technics PN10;90;110;10,0;3,010;PPR Труба Tebo technics PN10 d110х10,0
Manufactures;PPR Tebo technics PN10;Tebo technics PN10;100;125;11,4;3,902;PPR Труба Tebo technics PN10 d125х11,4
Manufactures;PPR Tebo technics PN10;Tebo technics PN10;125;160;14,6;6,391;PPR Труба Tebo technics PN10 d160х14,6
Manufactures;PPR Tebo technics PN20;Tebo technics PN20;15;20;3,4;0,172;PPR Труба Tebo technics PN20 d20х3,4
Manufactures;PPR Tebo technics PN20;Tebo technics PN20;20;25;4,2;0,226;PPR Труба Tebo technics PN20 d25х4,2
Manufactures;PPR Tebo technics PN20;Tebo technics PN20;25;32;5,4;0,434;PPR Труба Tebo technics PN20 d32х5,4
Manufactures;PPR Tebo technics PN20;Tebo technics PN20;32;40;6,7;0,671;PPR Труба Tebo technics PN20 d40х6,7
Manufactures;PPR Tebo technics PN20;Tebo technics PN20;40;50;8,4;1,050;PPR Труба Tebo technics PN20 d50х8,4
Manufactures;PPR Tebo technics PN20;Tebo technics PN20;50;63;10,5;1,650;PPR Труба Tebo technics PN20 d63х10,5
Manufactures;PPR Tebo technics PN20;Tebo technics PN20;65;75;12,5;2,340;PPR Труба Tebo technics PN20 d75х12,5
Manufactures;PPR Tebo technics PN20;Tebo technics PN20;80;90;15,0;3,360;PPR Труба Tebo technics PN20 d90х15,0
Manufactures;PPR Tebo technics PN20;Tebo technics PN20;90;110;18,4;4,460;PPR Труба Tebo technics PN20 d110х18,4
Manufactures;PPR Tebo technics PN20;Tebo technics PN20;100;125;20,8;5,990;PPR Труба Tebo technics PN20 d125х20,8
Manufactures;PPR Tebo technics PN20;Tebo technics PN20;125;160;26,6;9,750;PPR Труба Tebo technics PN20 d160х26,6
Manufactures;PPR/Al/PPR Tebo technics PN20;Tebo technics PN20;15;20;3,4;0,170;PPR/Al/PPR Труба армированная Tebo technics PN20 d20х3,4
Manufactures;PPR/Al/PPR Tebo technics PN20;Tebo technics PN20;20;25;4,2;0,260;PPR/Al/PPR Труба армированная Tebo technics PN20 d25х4,2
Manufactures;PPR/Al/PPR Tebo technics PN20;Tebo technics PN20;25;32;5,4;0,420;PPR/Al/PPR Труба армированная Tebo technics PN20 d32х5,4
Manufactures;PPR/Al/PPR Tebo technics PN20;Tebo technics PN20;32;40;6,7;0,650;PPR/Al/PPR Труба армированная Tebo technics PN20 d40х6,7
Manufactures;PPR/Al/PPR Tebo technics PN20;Tebo technics PN20;40;50;8,4,0;1,010;PPR/Al/PPR Труба армированная Tebo technics PN20 d50х8,4
Manufactures;PPR/Al/PPR Tebo technics PN20;Tebo technics PN20;50;63;10,5;1,590;PPR/Al/PPR Труба армированная Tebo technics PN20 d63х10,5
Manufactures;PPR/Al/PPR Tebo technics PN20;Tebo technics PN20;65;75;12,5;2,260;PPR/Al/PPR Труба армированная Tebo technics PN20 d75х12,5
Manufactures;PPR/Al/PPR Tebo technics PN20;Tebo technics PN20;80;90;15,0;3,250;PPR/Al/PPR Труба армированная Tebo technics PN20 d90х15,0
Manufactures;PPR/Al/PPR Tebo technics PN20;Tebo technics PN20;90;110;18,4;4,860;PPR/Al/PPR Труба армированная Tebo technics PN20 d110х18,4
Manufactures;PPR/Al/PPR Tebo technics PN25;Tebo technics PN25;15;20;4,0;0,190;PPR/Al/PPR Труба армированная Tebo technics PN25 d20х4,0
Manufactures;PPR/Al/PPR Tebo technics PN25;Tebo technics PN25;20;25;5,0;0,290;PPR/Al/PPR Труба армированная Tebo technics PN25 d25х5,0
Manufactures;PPR/Al/PPR Tebo technics PN25;Tebo technics PN25;25;32;6,4;0,480;PPR/Al/PPR Труба армированная Tebo technics PN25 d32х6,4
Manufactures;PPR/Al/PPR Tebo technics PN25;Tebo technics PN25;32;40;8,0;0,740;PPR/Al/PPR Труба армированная Tebo technics PN25 d40х8,0
Manufactures;PPR/Al/PPR Tebo technics PN25;Tebo technics PN25;40;50;10,0;1,160;PPR/Al/PPR Труба армированная Tebo technics PN25 d50х10,0
Manufactures;PPR/Al/PPR Tebo technics PN25;Tebo technics PN25;50;63;12,6;1,830;PPR/Al/PPR Труба армированная Tebo technics PN25 d63х12,6
Manufactures;PPR/Al/PPR Tebo technics PN25;Tebo technics PN25;65;75;15,0;2,600;PPR/Al/PPR Труба армированная Tebo technics PN25 d75х15,0
Manufactures;PPR/Al/PPR Tebo technics PN25;Tebo technics PN25;80;90;18,0;3,740;PPR/Al/PPR Труба армированная Tebo technics PN25 d90х18,0
Manufactures;PPR/Al/PPR Tebo technics PN25;Tebo technics PN25;90;110;22,0;5,580;PPR/Al/PPR Труба армированная Tebo technics PN25 d110х22,0
Manufactures;Ekoplastik;Ekoplastik PN10;20;20;2,2;0,121;Труба Ekoplastik PN 10 d20х2,2
Manufactures;Ekoplastik;Ekoplastik PN10;25;25;2,3;0,164;Труба Ekoplastik PN 10 d25х2,3
Manufactures;Ekoplastik;Ekoplastik PN10;32;32;2,9;0,258;Труба Ekoplastik PN 10 d32х2,9
Manufactures;Ekoplastik;Ekoplastik PN10;40;40;3,7;0,413;Труба Ekoplastik PN 10 d40х3,7
Manufactures;Ekoplastik;Ekoplastik PN10;50;50;4,6;0,636;Труба Ekoplastik PN 10 d50х4,6
Manufactures;Ekoplastik;Ekoplastik PN10;63;63;5,8;1,004;Труба Ekoplastik PN 10 d63х5,8
Manufactures;Ekoplastik;Ekoplastik PN10;75;75;6,8;1,401;Труба Ekoplastik PN 10 d75х6,8
Manufactures;Ekoplastik;Ekoplastik PN10;90;90;8,2;2,014;Труба Ekoplastik PN 10 d90х8,2
Manufactures;Ekoplastik;Ekoplastik PN10;110;110;10;3,009;Труба Ekoplastik PN 10 d110х10,0
Manufactures;Ekoplastik;Ekoplastik PN10;125;125;11,4;3,900;Труба Ekoplastik PN 10 d125х11,4
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;10x1;12;1;0.27;Труба DIN 11850-Ø10x1
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;10x1.5;13;1.5;0.43;Труба DIN 11850-Ø10x1.5
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;10x2;14;2;0.6;Труба DIN 11850-Ø10x2
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;15x1;18;1;0.42;Труба DIN 11850-Ø15x1
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;15x1.5;19;1.5;0.66;Труба DIN 11850-Ø15x1.5
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;15x2;20;2;0.9;Труба DIN 11850-Ø15x2
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;20x1;22;1;0.51;Труба DIN 11850-Ø20x1
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;20x1.5;23;1.5;0.81;Труба DIN 11850-Ø20x1.5
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;20x2;24;2;1.1;Труба DIN 11850-Ø20x2
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;25x1;28;1;0.66;Труба DIN 11850-Ø25x1
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;25x1.5;29;1.5;1.03;Труба DIN 11850-Ø25x1.5
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;25x2;30;2;1.4;Труба DIN 11850-Ø25x2
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;32x1;34;1;0.82;Труба DIN 11850-Ø32x1
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;32x1.5;35;1.5;1.26;Труба DIN 11850-Ø32x1.5
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;32x2;36;2;1.7;Труба DIN 11850-Ø32x2
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;40x1;40;1;0.97;Труба DIN 11850-Ø40x1
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;40x1.5;41;1.5;1.5;Труба DIN 11850-Ø40x1.5
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;40x2;42;2;2;Труба DIN 11850-Ø40x2
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;50x1;52;1;1.26;Труба DIN 11850-Ø50x1
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;50x1.5;53;1.5;1.9;Труба DIN 11850-Ø50x1.5
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;50x2;54;2;2.8;Труба DIN 11850-50x2
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;65x1.5;70;1.5;3.43;Труба DIN 11850-Ø65x1.5
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;80x1.5;85;1.5;4.16;Труба DIN 11850-Ø80x1.5
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;100x1.5;104;1.5;5.03;Труба DIN 11850-Ø100x1.5
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;125x1.5;125;1.5;6.36;Труба DIN 11850-Ø125x1.5
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;150x1.5;154;1.5;7.49;Труба DIN 11850-Ø150x1.5
DIN;DIN 11850;Трубы из коррозиестойкой стали для пищевой. химической и фармацевтической промышленности;200x1.5;204;1.5;10.12;Труба DIN 11850-Ø200x1.5
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;10.2x1.0;10.2;1;0.23;Труба-Ø10.2x1.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;10.2x1.2;10.2;1.2;0.27;Труба-Ø10.2x1.2 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;13.5x1.0;13.5;1;0.313;Труба-Ø13.5x1.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;13.5x1.2;13.5;1.2;0.369;Труба-Ø13.5x1.2 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;17.2x1.0;17.2;1;0.406;Труба-Ø17.2x1.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;21.3x1.0;21.3;1;0.509;Труба-Ø21.3x1.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;21.3x1.6;21.3;1.6;0.789;Труба-Ø21.3x1.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;21.3x2.0;21.3;2;0.966;Труба-Ø21.3x2.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;26.9x1.0;26.9;1;0.649;Труба-Ø26.9x1.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;26.9x1.6;26.9;1.6;1.01;Труба-Ø26.9x1.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;26.9x2.0;26.9;2;1.25;Труба-Ø26.9x2.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;26.9x2.6;26.9;2.6;1.58;Труба-Ø26.9x2.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;33.7x1.0;33.7;1;0.818;Труба-Ø33.7x1.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;33.7x1.2;33.7;1.2;0.976;Труба-Ø33.7x1.2 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;33.7x1.6;33.7;1.6;1.29;Труба-Ø33.7x1.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;33.7x2.0;33.7;2;1.58;Труба-Ø33.7x2.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;33.7x2.3;33.7;2.3;1.81;Труба-Ø33.7x2.3 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;33.7x2.6;33.7;2.6;2.02;Труба-Ø33.7x2.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;33.7x2.9;33.7;2.9;2.23;Труба-Ø33.7x2.9 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;33.7x3.2;33.7;3.2;2.45;Труба-Ø33.7x3.2 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;42.4x1.6;42.4;1.6;1.63;Труба-Ø42.4x1.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;42.4x2.0;42.4;2;2.02;Труба-Ø42.4x2.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;42.4x2.6;42.4;2.6;2.59;Труба-Ø42.4x2.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;42.4x2.9;42.4;2.9;2.86;Труба-Ø42.4x2.9 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;42.4x3.2;42.4;3.2;3.14;Труба-Ø42.4x3.2 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;42.4x3.6;42.4;3.6;3.49;Труба-Ø42.4x3.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;48.3x 1.6;48.3;1.6;1.87;Труба-Ø48.3x1.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;48.3x 2.0;48.3;2;2.31;Труба-Ø48.3x 2.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;48.3x 2.3;48.3;2.3;2.65;Труба-Ø48.3x 2.3 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;48.3x 2.6;48.3;2.6;2.97;Труба-Ø48.3x 2.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;48.3x 3.2;48.3;3.2;6.61;Труба-Ø48.3x 3.2 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;48.3x 3.6;48.3;3.6;4.03;Труба-Ø48.3x 3.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;60.3x1.6;60.3;1.6;2.35;Труба-Ø60.3x1.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;60.3x2.0;60.3;2;2.92;Труба-Ø60.3x2.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;60.3x2.3;60.3;2.3;3.34;Труба-Ø60.3x2.3 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;60.3x2.6;60.3;2.6;3.76;Труба-Ø60.3x2.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;60.3x2.9;60.3;2.9;4.17;Труба-Ø60.3x2.9 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;60.3x3.2;60.3;3.2;4.58;Труба-Ø60.3x3.2 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;60.3x3.6;60.3;3.6;5.11;Труба-Ø60.3x3.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;76.1x1.6;76.1;1.6;2.98;Труба-Ø76.1x1.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;76.1x2.0;76.1;2;3.7;Труба-Ø76.1x2.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;76.1x2.3;76.1;2.3;4.25;Труба-Ø76.1x2.3 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;76.1x2.6;76.1;2.6;4.78;Труба-Ø76.1x2.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;76.1x2.9;76.1;2.9;5.32;Труба-Ø76.1x2.9 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;76.1x3.6;76.1;3.6;6.54;Труба-Ø76.1x3.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;76.1x4.0;76.1;4;7.22;Труба-Ø76.1x4.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;88.9x1.6;88.9;1.6;3.49;Труба-Ø88.9x1.6 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;88.9x2.0;88.9;2;4.35;Труба-Ø88.9x2.0 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;88.9x2.3;88.9;2.3;4.98;Труба-Ø88.9x2.3 DIN 17455
DIN;DIN 17455 (Серия 1);Трубы круглого сечения  сварные из коррозиестойкой стали общего назначения.;88.9x2.6;88.9;2.6;5.61;Труба-Ø88.9x2.6 DIN 17455
